galleryImageId,productId,variantId,colorVariantId,imageUrl,imageSource,productName,categoryId,categoryName,brandId,brandName,gender,color,price,finalPrice,isActive,availableQuantity
d2cb577f0f884de0117b3668:4f1a731dfaf979032af6fdb2:678aebd081e52d553e2001b1,d2cb577f0f884de0117b3668,4f1a731dfaf979032af6fdb2,678aebd081e52d553e2001b1,https://buggy.yodycdn.com/images/product/9dac5749d11520b92e5b706abe46fb0c.webp,color_variant_image,Áo Thun Nam Thể Thao Thấm Hút Vượt Trội,e425f1aff5a8452bb4fbaad5,Áo thun,a6c66b8d301ac0218dbc24e0,YODY,male,Ghi,49000,41650,true,160
d2cb577f0f884de0117b3668:4f1a731dfaf979032af6fdb2:cd4f3bc888f390d27a8880ae,d2cb577f0f884de0117b3668,4f1a731dfaf979032af6fdb2,cd4f3bc888f390d27a8880ae,https://buggy.yodycdn.com/images/product/94b7d0460b217a546eb8371fecd99323.webp,color_variant_image,Áo Thun Nam Thể Thao Thấm Hút Vượt Trội,e425f1aff5a8452bb4fbaad5,Áo thun,a6c66b8d301ac0218dbc24e0,YODY,male,Cam,49000,41650,true,160
d2cb577f0f884de0117b3668:4f1a731dfaf979032af6fdb2:1e1a2bc22d092038b1473fee,d2cb577f0f884de0117b3668,4f1a731dfaf979032af6fdb2,1e1a2bc22d092038b1473fee,https://buggy.yodycdn.com/images/product/e8c1be28535fb726afd603d60186166f.webp,color_variant_image,Áo Thun Nam Thể Thao Thấm Hút Vượt Trội,e425f1aff5a8452bb4fbaad5,Áo thun,a6c66b8d301ac0218dbc24e0,YODY,male,Tím than,49000,41650,true,160
d2cb577f0f884de0117b3668:4f1a731dfaf979032af6fdb2:a199bd28ff6ba70db440a2f7,d2cb577f0f884de0117b3668,4f1a731dfaf979032af6fdb2,a199bd28ff6ba70db440a2f7,https://buggy.yodycdn.com/images/product/5e42051bae6a81d74959e867405de977.webp,color_variant_image,Áo Thun Nam Thể Thao Thấm Hút Vượt Trội,e425f1aff5a8452bb4fbaad5,Áo thun,a6c66b8d301ac0218dbc24e0,YODY,male,Đen,49000,41650,true,160
d2cb577f0f884de0117b3668:4f1a731dfaf979032af6fdb2:8b6d5bec310f498458418425,d2cb577f0f884de0117b3668,4f1a731dfaf979032af6fdb2,8b6d5bec310f498458418425,https://buggy.yodycdn.com/images/product/c49d5a669d78212a5664234b7094aff6.webp,color_variant_image,Áo Thun Nam Thể Thao Thấm Hút Vượt Trội,e425f1aff5a8452bb4fbaad5,Áo thun,a6c66b8d301ac0218dbc24e0,YODY,male,Trắng,49000,41650,true,160
ee67e9563f46b5b35e3a9f52:product_image,ee67e9563f46b5b35e3a9f52,,,https://buggy.yodycdn.com/images/product/1df8b0efdfd10fdb48ee53482397fb57.webp,product_image,Giày Nam Moccasin Da Saffiano Đai Khóa,586c61789a581be481dac069,Giày lười,a6c66b8d301ac0218dbc24e0,YODY,male,,49000,49000,true,199
ee67e9563f46b5b35e3a9f52:c147d588e1dc537495718211:7d4f17c596d5f185bf6d752b,ee67e9563f46b5b35e3a9f52,c147d588e1dc537495718211,7d4f17c596d5f185bf6d752b,https://buggy.yodycdn.com/images/product/1df8b0efdfd10fdb48ee53482397fb57.webp,color_variant_image,Giày Nam Moccasin Da Saffiano Đai Khóa,586c61789a581be481dac069,Giày lười,a6c66b8d301ac0218dbc24e0,YODY,male,Đen,49000,49000,true,199
e4e8cf54a3b605a2f612804e:product_image,e4e8cf54a3b605a2f612804e,,,https://buggy.yodycdn.com/images/product/d3fdf95fd1e904568bfd493a6d452278.webp,product_image,Áo Polo Nam In Màu Thấm Hút Mồ Hôi Tốt,43664554fe2d2ee1bd5ee884,Áo polo,a6c66b8d301ac0218dbc24e0,YODY,male,,49000,49000,true,240
e4e8cf54a3b605a2f612804e:9cdbdc36ee6d9b3cf8fe2a1d:2d5aa7228c2b98d711e02f83,e4e8cf54a3b605a2f612804e,9cdbdc36ee6d9b3cf8fe2a1d,2d5aa7228c2b98d711e02f83,https://buggy.yodycdn.com/images/product/d3fdf95fd1e904568bfd493a6d452278.webp,color_variant_image,Áo Polo Nam In Màu Thấm Hút Mồ Hôi Tốt,43664554fe2d2ee1bd5ee884,Áo polo,a6c66b8d301ac0218dbc24e0,YODY,male,Trắng phối navy,49000,49000,true,240
2f5fa044af449c0a22678290:product_image,2f5fa044af449c0a22678290,,,https://buggy.yodycdn.com/images/product/965f515ded31bc54c2c5df24fa905696.webp,product_image,Quần Baggy Nữ Lưng Cao Nano Gấu Lơ Vê,9b440a922f3625fa4ec34d21,Quần baggy,a6c66b8d301ac0218dbc24e0,YODY,female,,49000,49000,true,480
